Sr No~Title~Author~biblionumber
1~`l' is for lawless~Grafton, Sue~1648
6958~Excel Power e-book~Hulyalkar, Satish~22528
6959~Excellence - in business communication~Thill, J.V. [Et.al]~1138
6960~Excellence in business communication ~Thill, J.V. [Et.al]~22353
6961~Excellence in insurance and risk management international insurance and risk management conference papersmumbai, 1997~IIIrm~14777
6962~Excellence in leadership~Goble, Frank.~569
6963~Excellence in management~Conlow, Rick~15469
6964~Excellence in management~Rustomji, M.K.~15470
6965~Excellence in Public Sector (V00180), Interview Games (V00155)~~25500
6966~Excellence in services~Balachandran, S.~4335
6967~Excellence in the public sector~~25489
6968~Excellence is a habit~Barry, Thomas J.~13226
6969~Excellence through human resource development~Nair, M.R.R.~9218
6970~Excellence through participation quality the only way~Qcfi~8022
6971~Excellence through people~Prabhu, N. D~14598
6972~Excellent management in the public sector~Khandwalla, Pradip N.~19838
6973~Excellent trainer-putting nlp to work~Kamp, Di.~13045
6974~Exceptional executive~Levinson, Harry~7218
6975~Excess of loss methods of reinsurance~Insurance Institute of London~42
6976~Exchange arrangements and exchange restrictions~IMF~15717
6977~Exchange rate misalignment~Hinkle, L.E. [Et.al]~10149
6978~Exchange rate policy~Joseph, Mathew~2296
6979~Exchange rates and the monetary system-selected essays of pbkenen~Kenen, P.B.~13889
6980~Exchange Server 5.5 Service Pack 2~~25235
6981~Exchange Server 5.5 Service Pack 4.0~~25109
6982~Excise and customes budget 1999-2000~Jain, R.K.~21681
6983~Excise and customs budget with excise and customs notifications 1998-1999~Jain R.K.~749
6984~Exclusive 30 minutes tech video [September 2005]~PC Quest~24705
6985~Excuse me god~Sirshree~11770
6986~Executing your strategy~Morgan, Mark~15633
6987~Execution~Bossidy, Larry~21807
6988~Executive achievement~Blake, Robert R. & Mouton, Jane S.~13942
6989~Executive achievement~Blake, R. R.~13943
6990~Executive achievement ~Blake, Robert R.~13944
6991~Executive challenge, managing change and ambiguity~Mccaskey, Michael B.~16006
6992~Executive coaching~Chapman, Tony~7618
6993~Executive communication~Devraj, A.~3352
6994~Executive communication power~Williams, Fredrick~4281
6995~Executive decision making~Davar, Rustom~22389
6996~Executive decisions and operations research~Miller, David W.~10401
6997~Executive decisions making through simulation~Cone, P.R., Basil, D.C.~21061
6998~Executive deskbook~Uris, Auren~3661
6999~Executive development ~Harvard Business Library~5505
7000~Executive development in India~Rudrabasavaraj, M.N.~14591
7001~Executive eq~Cooper, Robert K. [Et.al]~7513
7002~Executive essentials~Posner, M.~21489
7003~Executive game~Menshaw & Jackson.~15196
7004~Executive in action~Drucker, Peter~20067
7005~Executive motivation-current concerns (foundation for organisational research workshop series 1)~Singh, N.K. [Et.al]~4498
7006~Executive orders~Clancy, Tom~17109
7007~Executive power - its use and misuse~Harvard Business Review~9184
7008~Executive protection~Subramanian, S.~1197
7009~Executive psychosis~Khanna, K. K.~19625
7010~Executive search -a guide forrecruiting outstanding executives~Conarroe, Richard R.~7459
7011~Executive selection~Sessa, Valerie I.~9415
7012~Executive stres~Norflok, Donald.~5113
7013~Executive thinking~Kossoff, Leslie L.~7815
7014~Executive time management~Reyonlds, Helen & Tramel Many E~1041
7015~Executive time management~Reynolds, Helen & Tramel Mary~1042
7016~Executive warfare~Dȿalessandro, David F.~339
7017~Executive's book of quotations~Vitullo-Martin, J. [Et.al]~14347
7018~Executive's factomatic~Horn, Jack~13046
7019~Executive's guide to speaking and presenting~Martel, M.~15676
7020~Executive's portfolio of model speeches for all occasions~Booher, D.~9707
7021~Executives guide to computer based information systems~Wetherbe Jones~20157
7022~Executives under stress~Singh, S.~2227
7023~Exemplary ceo~Pandit, Shrinivas~19726
7024~Exercises in the 21st edition of the dewey decimal classification~Satija, M.P. and Comaromi, J.P.~12306
7025~Exercising for good health ~Sheth, Parul R.~34091
7026~Existential counselling in practice~Deurzen-Smith, Emmy~22140
7027~Exit the rainmaker~Coleman, J.~20974
7028~Exodus~Uris, Leon~1584
7029~Exotic options~Clewlow, Les~3782
7030~Expectations and possibilities~Batten, Joe~20933
7031~Expectations approach improving managerial communication & perfo~Machin, J.L.~22079
7032~Experience above all~Munich Re~24512
7033~Experience of work~Cook, John D. [Et.al]~8798
7034~Experience the ecstasy of fort Raigad: the king of fort~~22830
7035~Experiences of counselling in action~Mearns, Dave & Dryden~13654
7036~Experiences: My Firm and My Journey~Bajaj, R.~25266
7037~Experimental design and methods~Lewis-Beck.M.S.~16199
7038~Experimental design in behavioural research~Broota, K.D.~4586
7039~Experimental groups in theory and practice~Rudestam, K E~9132
7040~Experimental marketing~Davis E.I.~19598
7041~Experimental phenomenology an introduction~Ihde Don~5203
7042~Experimental psychology~Parry, J.~1700
7043~Experimental psychology~Mcguingan, F.J.~1701
7044~Experimental psychology~Kantowitz, B.H.~1702
7045~Experiodica        ~~33637
7046~Expert company~Feigenbaum, E.~15755
7047~Expert executive~Hertz, David~14069
7048~Expert one-on -one microsoft access application development~Feddema, Helen~11044
7049~Expert php and mysql~Curioso, Andrew~15186
7050~Expert systems~Durkin, John~22091
7051~Expert systems in banking - a guide for senior managers~Chorafas, D.N. [Et.al]~2628
7052~Expert systems in finance (studies in management science and system~O'leary, D.E. [Et.al]~3243
7053~Expert's guide to managing and marketing a successful finance~Rich, Andrew M. [Et.al]~21139
7054~Explaining behaviour - an introduction to psychology~Dustin, David S. Johnson James M.~21575
7055~Explaining life through evolution~Chakrabarty, Prosanta~15227
7056~Explanatory memorandum on the railway budget for 2012-13~Ministry of Railways~11973
7057~Exploding freedom - roots in technology~Pitroda, Sam~19879
7058~Explorations in economic liberalism~Wood, G.E. Ed~2854
7059~Explorations in managing~Zoll, Allen A.~7502
7060~Exploratory data analysis~Hartwig, F. [Et.al]~17513
7061~Exploratory study of management dimensions in medical informatics~Mishra, Simita~13860
7062~Explorers~Lincoln,Margarette~23426
7063~Exploring c~Kanetkar, Y.~5606
7064~Exploring corporate strategy~Johnson, G. [Et.al]~5446
7065~Exploring corporate strategy ~Johnson, G. and Scholes, K.~5447
7066~Exploring general equilibrium~Black, Fischer~30
7067~Exploring marketing research~Zikmund, William~7373
7068~Exploring mathematics with your computer~Engel, A.~2705
7069~Exploring psychology~Myers, David G.~3077
7070~Exploring the black box~Rosenberg, N.~4719
7071~Exploring the road less travelled - a study guide for small ground~Howard, Walden [Et.al]~21242
7072~Exploring your pc with basic~Kannan, N.~1536
7073~Export~Mahajan, M.I.~5352
7074~Export~Mahajan, M.I.~5353
7075~Export~Mahajan, M.I.~5354
7076~Export credit guarantee corporation (ECGC): an evaluation of opportunity space for ECGC insurance~Mishra, K.C. (Dr.)~22854
7077~Export import bank of India 10th annual report~Export Import Bank of India~9103
7078~Export import procedures and documentation~Jain Khushpat S.~18637
7079~Export management~Wali, B.M.~12295
7080~Export marketing~Bhattacharyya, B.~11468
7081~Export prospects for agro-based industries~Mvirdc~2018
7082~Export-import bank of India~Exim Bank~7025
7083~Exporters' checklist~Twells, Harry~3158
7084~Exposed to risk~~7835
7085~Exposures~Anthony, E.~8149
7086~Express computer~Gupta, Sanjay~33562
7087~External debt management~RBI~21743
7088~External liberalization, economic performance and social policy~Taylor, Lance~1269
7089~Extraordinary leader~Zenger, John H.~6997
7090~Extraordinary leader : going from good to great- 25 Min. (Disc 1 DVD and Disc 2- Training Support Materials)~HRD~25704
7091~Extraordinary leadership~Reed, Peter J.~15268
7092~Extraterrestrial intelligence~Heidamann, Jean~889
7093~Eye for winners ~Vernon, Lilian~14342
7094~Eye of the beholder~NEIF~22777
7095~Eye of the needle~Follet, Ken~15551
7096~Eye of the storm~Higgins, J.~14594
7097~Eye to eye~Marsh, Peter~8182
7098~Eyes & ears of Lloyd's~Video Training Prog.~23836
7099~Eyes of a child~Patterson, R.N.~6747
7100~Eyeshot~Hightower, Lynn S.~17338
7101~EZ-SCSI Driver Software Deluxe Edition.~~24973
7102~Fa 1975-78 mortality tables for female assured lives~Inst of Actuaries~4072
7103~Face too face~~6667
7104~Facebook katha manasala online olakha denarya kanpanichi 3 फ सबुक; कथा माणसाला ऑनलाईन ओळख द णारया कंपनीची आव त ती ३~Kahate Atul~9366
7105~Faces~Rajadhyaksha, Gautam~6970
7106~Facets of indian advertising and consumer behaviour~Khan, Kaleem Mohammad~21039
7107~Facets of indian culture~Srinivasan, R~11509
7108~Facilitating learning~Spinks, Tony~15969
7109~Facing the future~Hatton, David J.W.~4925
7110~Fact book 2000~National Stock Exchange of India Limited~11054
7111~Fact-finding questionarie for risk managers~Daenzer, B.J.~8095
7112~Factbook and faculty directory by association of management development institutions in south asia(amdisa)~Association of Management Development Institutions In South~18756
7113~Factor analysis and related techniques~Lewis-Beck, Michael S.Ed.~1147
7114~Factor proportions, trade and growth~Findlay, Ronald~2352
7115~Factories act, 1948 with the labours laws (exemption from furnishing returns and maintaining registers by certain establishment) act, 1988~~10580
7116~Factories act, 1948 with the maharashtra factories, rules~~1946
7117~Factors analysis - statistical methods and practical issues~Kim, J. [Et.al]~3990
7118~Factors which hinder or help productivity improvement in asian regions (integreted report)~A.P.O.~10406
7119~Factory girls~Chang, Leslie T.~8767
7120~Facts from figures~Moroney, M.J.~9929
7121~Facts of life and health insurance~Gouchman, A.~3224
7122~Facts of the general insurance industry in canada~Insurance Bureau~18987
7123~Faculty freedoms and institutional accountability~Olswang, Steven~9445
7124~Fad free management~Hamermesh, R.G.~813
7125~Failing forward~Maxwell, J.C.~709
7126~Failure is not an option ~Blankstein, Alan M., 1959-~12268
7127~Failure of public utilities~Munich Re Group~486
7128~Failure to communicate~Weeks, Holy~13687
7129~Fair in progress (1964-2010)~Fair~22086
7130~Fair in progress (1964-2014)~Fair~612
7131~Fair renet~Sengupta, D.~492
7132~Fair Review~Sabry Alfadel~33691
7133~Fair review~Sabry Alfadel~33817
7134~Fair Seminar I (May 6-8 2002)~GIC~24003
7135~Fair Seminar II (May 6-8 2002)~GIC~23071
7136~Fair Seminar III (May 6-8 2002)~GIC~24263
7137~Fair Seminar IV (May 6-8 2002)~GIC~25731
7138~Fair seminar on agricultural insurance~~13896
7139~Fair seminar on agricultural insurance~~13897
7140~Fair seminar on petrochemical risk and products liability~~19525
7141~Fair Seminar V (May 6-8 2002)~GIC~23979
7142~Fair trade and harmonization - prerequisites for free trade ?~Bhagwati, Jagdish [Et.al]~432
7143~Fair trade for all~Stiglitz, Joseph E.~18577
7144~Fair value of insurance business~Vanderhoof, Irwin~7
7145~Fair value of insurance liabilities~Vanderhoff, Irwin T. [Et.al]~6833
7146~Fair Viewpoints~Amos, Janine~24538
7147~Fairground ghost~Everett, Felicity~25163
7148~Fairness in international trade~Moore, Geoff~4685
7149~Faith and credit~George, S. [Et.al]~1576
7150~Falbhajyanchi aushadhi upayuktataफळभाज यांची औषधी उपयुक तता~Randive, Vijay~19647
7151~Falcon flies~Smith, Wilbur~12025
7152~Fall ~Camus, Albert~18267
7153~Fall of constantinople 1453~Runciman, S.~20159
7154~Fall of moondust~Clarke, Arthur~20665
7155~Fall of the house of usher and other tales~Poe, E.A.~17056
7156~Fallen angel~Deb Sandipan~21970
7157~Falling off the map~Iyer, Pico~2812
7158~Falling over backwards~Shourie, Arun~15737
7159~False impression~Archer, Jeffrey~11307
7160~Families: CD03~~25746
7161~Family and the nation~Mahapragya, Acharya~20916
7162~Family doctor guide to diabetes (british medical association)~Bilous, Rudy W.~18704
7163~Family pictures~Miller, S.~3725
7164~Family stress management~Boss, Pauline~6559
7165~Family therapy with the elderly~Neidhardt, E.R. [Et.al]~17866
7166~Family wars~Gordon, Grant~7518
7167~Family wisdom~Sharma, Robin~8601
7168~Family, the market and the state in ageing societies~Ermisch, John~3186
7169~Famous Five Series-Five Go Off To Camp~Blyton,Enid~23343
7170~Famous Five Series-Five Have Plenty of Fun~Blyton,Enid~25322
7171~Famous Five Series-Five On A Hike~Blyton,Enid~25174
7172~Famous Five Series-Five On Kirrin Island Again~Blyton,Enid~24348
7173~Famous Five Series-Five Run Away Together~Blyton,Enid~23128
7174~Fantaciya फ न टासिया~Pundalik Vidhyadhar~10725
7175~Fantastic Mr. Fox - A Play~Dahl, Roald~22529
7176~Fantastic voyage~Asimov, Isaac~14224
7177~Fantastic voyage II - destination brain~Asimov, Isaac~15581
7178~Far eastern economic review ~Review Publishing~10267
7179~FAR eastern economic review~~33725
7180~Far from the madding crowd~Hardy, Thomas~9535
7181~Faraday in 90 MIN.~John & Mary Gribbin~24199
7182~Farewell to a ghost~Das, Manoj~18592
7183~Farewell to arms~Hemingway~5698
7184~Farmers sucide~Meeta~864
7185~Fasb interpretation no 11~FASB~20679
7186~Fasb interpretation no 15~FASB~6730
7187~Fasb interpretation no 35~FASB~2187
7188~Fasb interpretation no 40~FASB~12322
7189~Fasb no 102~FASB~17521
7190~Fasb no 104~FASB~22087
7191~Fasb no 105 - disclosure of information about financial instruments~FASB~17847
7192~Fasb no 106~FASB~12281
7193~Fasb no 107~FASB~6580
7194~Fasb no 110~FASB~5666
7195~Fasb no 112~FASB~18901
7196~Fasb no 114~FASB~19860
7197~Fasb no 118~FASB~20748
7198~Fasb no 20~FASB~14503
7199~Fasb no 33~FASB~5290
7200~Fasb no 47~FASB~10886
7201~Fasb no 48~FASB~9634
7202~Fasb no 5~FASB~15797
7203~Fasb no 52~FASB~7447
7204~Fasb no 54~FASB~17426
7205~Fasb no 55~FASB~22089
7206~Fasb no 57~FASB~10768
7207~Fasb no 60~FASB~182
7208~Fasb no 65~FASB~8586
7209~Fasb no 70~FASB~3924
7210~Fasb no 8~FASB~13392
7211~Fasb no 81~FASB~15044
7212~Fasb no 84~FASB~20789
7213~Fasb no 85~FASB~18758
7214~Fasb no 87~FASB~7342
7215~Fasb no 88~FASB~6109
7216~Fasb no 89~FASB~14493
7217~Fasb no 91~FASB~2703
7218~Fasb no 95~FASB~8285
7219~Fasb no 97~FASB~18876
7220~Fasb no1~FASB~271
7221~Fasb no11~FASB~9333
7222~Fasb no113~FASB~12539
7223~Fasb no115~FASB~3415
7224~Fasb no119~FASB~7365
7225~Fasb no12~FASB~18907
7226~Fasb no120~FASB~21506
7227~Fasb no123~Financial Accounting Standards Board~5567
7228~Fasb no128~Financial Accounting Standards Board~374
7229~Fasb no133~Financial Accounting Standards Board~9676
7230~Fasb no134~Financial Accounting Standards Board~22241
7231~Fasb no162 b~FASB~8343
7232~Fast alliances~Segil, Larraine~234
7233~Fast alliances: power your e-business [with CD]~Segil, Larraine~22739
7234~Fast forward~Leboeuf, M.~11601
7235~Fast@internet (December 2003)~Digit~25725
7236~Fatal accident claims~Duncan, M. [Et.al]~1278
7237~Fatal accidents~Basu, S.~13487
7238~Fatal accidents act~Dwivedi, R.N.~2397
7239~Fatal accidents act, 1855~~11474
7240~Fatal cure~Cook, Robin~21451
7241~Fate of ibm~Heller, R.~7020
7242~Fate of the elephant ~Chadwick, D.H.~21841
7243~Father, son and co- my life at ibm and beyond~Watson, T.J. Jr. [Et.al]~12328
7244~Fatkebaji फटक बाजी~Kanekar, Shirish~7413
7245~Fault lines ~Rajan, Raghuram~5963
7246~Faultless facilitation~Hart, Lois B~12110
7247~Fdi in retail sector~Mukherjee, Arpita~11465
7248~Fear is the key~Maclean, Alistair~2602
7249~Fear of freedom~Fromm, Erich~5990
7250~Fear your strengths~Kaplan, Robert E.~3692
7251~Fearless executive~Downs, Alan~429
7252~Fearless organization~Edmondson, Amy C.~17568
7253~Fedora 6 and red hat enterprise linux bible (with 2 cds and 1 dvd)~Negus, Christopher~4516
7254~Fedora 6 and Red Hat Enterprise Linux Bible (with 2 CDs and 1 DVD)~Negus, Christopher~24067
7255~Fedora Core - 1 Disc 1 [January 2004]~Linux For You~24137
7256~Fedora Core - 1 Disc 2 [February 2004]~Linux For You~24495
7257~Fedora Core - 1 Disc 3 [March 2004]~Linux For You~24511
7258~Feedback~Schutz, Will~4204
7259~Feedback and organisation development~Nadler, David~15649
7260~Feel the fear and do it anyway~Jeffers, S.~16255
7261~Feeling good~Burns, D.D.~12644
7262~Feeling good handbook~Burns, David D.~2356
7263~Feeling smart~Winter, Eyal~10619
7264~Feng shui and your health~Lim, Jes T.Y.~19249
7265~Feng shui for better living ~Merton, Merlina~7261
7266~Feng shui made easy~Spear, William~11218
7267~Fernando's business ethics and corporate governance~Fernando, A.C.~25752
7268~Fertility in India~Gulati, S.C.~12620
7269~Festival of India in the united states~Jayakar, Pupul~4230
7270~Festivals in Regions and Seasons of India~Gupchup,Vijaya~23120
7271~Festivals of India~MIB~4942
7272~Festivals, fairs and fasts of India~Gupta, Shakti~1708
7273~Fever~Cook, Robin~9717
7274~Few quick ones~Wodehouse, P.G.~12294
7275~Feynman lectures on computation~Feynman, Richard P.~11247
7276~fgh~~25666
7277~Fiancial incentices for employees~Roots, Paul~16662
7278~Fibonacci applications and strategies for traders~Fischer, R.~21215
7279~Fidelity and honour - the indian army from the seventeenth ~Menezes, (Lt. Gen.) S.L.~1556
7280~Fidelity guarantee computer fraud~Financial Times Business Insurance~21006
7281~Field guide to the birds of north america~National Geographic Society~2268
7282~Field sales management - text and cases~Dodgerobert H.~8470
7283~Field sales performance apprisal~Clark Lambert.~7823
7284~Fiesta - the sun also rises~Hemingway, Ernest~18980
7285~Fifteen judgments: cases that shaped India's financial landscape~Kirpal, Saurabh~32881
7286~Fifth citizen's report~CSE~6925
7287~Fifth citizen's report~CSE~6926
7288~Fifth discipline~Senge, Peter M.~11660
7289~Fifth discipline fieldbook - strategies and tools for building a learning organisation~Senge, P.M. & Others~9431
7290~Fifth generation~Feigenbaum, E.A.~6303
7291~Fifth generation management~Savage, Charles M.~12237
7292~Fifth pay commission acceptance order 1998~Nabhi~7094
7293~Fifth profession~Morrell, David~13268
7294~Fifty activities for teams at work~Zogilo, S.W.~18459
7295~Fifty minute supervisor~Chapman, Elivood~8713
7296~Fifty things that made the modern economy~Harford Tim~8104
7297~Figure out of the World of figures, the concept of profit (V00198)~~24805
7298~Figure out of the world of figures;V.1~Lamba,Anil~23467
7299~Figure out of the world of figures;V.2~Lamba,Anil~23254
7300~FIIB business review~Rana, Sudhir~33875
7301~Fild marshal sam maneksha bharatiya laksharacha manbindu फील ड मार शल स याम माण कशाभारतीय लष कराचा मानबिंद~Sud, Shubhi~19192
7302~File organisation for database design~Wiederhold, G.~15955
7303~Fill the reckless~Wodehouse, P.G.~2800
7304~Fillets of plaice~Durrell, G.~9978
7305~Final days~Woodward, B. [Et.al]~19614
7306~Final diagnosis~Hailey, Arthur~16690
7307~Final option~Hartzmark, G.~21229
7308~Finance~Pandey, I.M.~10720
7309~Finance & the international economy, the amex bank review prize~O'brien, R. Ed.~17227
7310~Finance accounting and investment management~NIA~2163
7311~Finance against poverty~Hulme, David [Et.al]~8511
7312~Finance and accounting~Giles, R.S.~8729
7313~Finance and accounting ( cii study course 940 )~Brear, Sue~4916
7314~Finance and accounting for insurance professional~Elliott Michael W.~9480
7315~Finance and accounts for managers~Goch, Desmond~16683
7316~Finance and development~Bandyopadhyay, R~1705
7317~Finance and profits~Yasaswy, N.J.~8609
7318~Finance and profits~Yasaswy, N.Y.~8610
7319~Finance and technological change~Santarelli, Enrico~9080
7320~Finance and the economy~O'brien, R.~11479
7321~Finance and the international economy~O'brien, Richard~21714
7322~Finance and the international economy~O'brien, Richard~21715
7323~Finance and the international economy~O'brien, Richard~21716
7324~Finance and the international economy~O'brien, Richard~21717
7325~Finance at the frontier-debt capacity and the role of credit in~Von Pischke, J.D.~20874
7326~Finance basics~HBR~21143
7327~Finance bill 1991-92~GOI~16680
7328~Finance bill 1993-94~GOI~4704
7329~Finance bill 1995-96~GOI~14890
7330~Finance bill 1997-98~GOI~20010
7331~Finance bill, 1999~Ministry of Finance~14605
7332~Finance for business and industries~Rao, C.R.~17072
7333~Finance for managers~Vause, R.~21104
7334~Finance for non-financial executives~Yasaswy, N.J.~21233
7335~Finance for non-financial managers~Ramsden, Philip~9530
7336~Finance for non-financial managers in a week~Mason, Roger~335
7337~Finance for one and all~Jakhotiya, G.P. [Et.al]~22411
7338~Finance for risk management and insurance professionals~Olsen, James M.~18779
7339~Finance ministers of India~Venkateswaran, R.J.~18735
7340~Finance of foreign trade and foreign exchange~Lall, G.S~1974
7341~Finance sense~Chandra, Prasanna~10870
7342~Finance sense~Chandra, Prasanna~10871
7343~Finance theory~Jarrow, R.A.~8049
7344~Finances of public limited companies~RBI~20647
7345~Finances of state governments~RBI~21794
7346~Finances of state governments~RBI~21795
7347~Finances of state governments~RBI~21796
7348~Financial access in post-reform India~Bhavani, T. A.~2212
7349~Financial accounting~Stickney, C.P. [Et.al]~7883
7350~Financial accounting~Goyal, V.K.~7884
7351~Financial accounting ~Narayanaswamy, R.~7885
7352~Financial accounting~Narayanaswamy, R.~7886
7353~Financial accounting~Narayanaswamy, R.~7887
7354~Financial accounting~Narayanaswamy, R.~7888
7355~Financial accounting ~Narayanaswamy, R.~7889
7356~Financial accounting~Backer, M. and Others~7890
7357~Financial accounting (as per revised syllabus wef june 2009 for tybcom)~Ainapure, Varsha~8043
7358~Financial accounting for managers~Dhamija, Sanjay~22138
7359~Financial accounting for managers ~Ghosh, T.P.~22139
7360~Financial accounting part I~Arulanandam~3718
7361~Financial accounting part II~Arulanandam~13632
7362~Financial accounting: a managerial perspective~Narayanaswamy, R.~25180
7363~Financial accounting: a managerial perspective~,, ,,~25181
7364~Financial accounting: a managerial perspective, edn.2~,, ,,~22498
7365~Financial administration~Kreps, Clifton H. [Et.al]~17875
7366~Financial analysis of a reinsurance office~Craighead, David~12401
7367~Financial analysis of a reinsurance office~Craighead, David~12402
7368~Financial analysts journal      ~~33931
7369~Financial and actuarial statistics~Borowiak, Dale S.~2389
7370~Financial and insurance formulas~Cipra, Tomas~4717
7371~Financial and managerial accounting~Williams, Jan R.~12318
7372~Financial and managerial accounting: the basis for business decisions, edn.13 (with CD-ROM)~Williams, Jan R.~24202
7373~Financial aspects of life business (cii tuition service study course no 140)~Blunden, William E.~21718
7374~Financial aspects of long term business~CII~3691
7375~Financial aspects of pension business ~Tutt, S.I.M. [Et.al]~12524
7376~Financial condition examiners handbook~Naic~19040
7377~Financial consultancy services~Rao, V.L. [Et.al]~6057
7378~Financial decision-making~Srivastava, R.M.~18730
7379~Financial diversification - threat or opportunity~Limra~9006
7380~Financial econometrics modeling~Gregoriou, Greg N.(Ed.)~18262
7381~Financial economics~Eichberger, Jurgen and Harper, Ian R.~21686
7382~Financial efficiency~Nigam, Sudha~13926
7383~Financial engineer~Parekh, Naru~16129
7384~Financial engineering~Marshall, John F. [Et.al]~17293
7385~Financial engineering~Eckl, S.~17294
7386~Financial engineering - a handbook of derivative products~Eckl, S. & Others~1540
7387~Financial engineering and computation~Lyuu, Yuh-Dauh~20100
7388~Financial enterprise risk management~Sweeting, Paul~896
7389~Financial expert~Narayan, R. K.~21663
7390~Financial futures and options in indian perspective~Patwari, D.C.~14614
7391~Financial inclusion for the aged~Bhaskaran, S.~13500
7392~Financial inclusion in emerging markets~Ananda, S.~6913
7393~Financial institutions~Barger, T.~3578
7394~Financial institutions & markets~Johnson, Hazel J~14881
7395~Financial institutions and markerts~Bhole, L. M.~21802
7396~Financial institutions and markets~Bhole, L.M.~17251
7397~Financial institutions and markets~Bhole, L.M.~17252
7398~Financial institutions and markets~Bhole, L.M.~17253
7399~Financial institutions and markets~Bhole, L.M.~17254
7400~Financial institutions and markets: structure, growth and innovations, edn.3~Bhole, L.M.~25176
7401~Financial institutions and markets: structure, growth and innovations, edn.3~,, ,,~25177
7402~Financial institutions management~Saunders, A.~19905
7403~Financial institutions, markets and money~Kidwell, D.S. and Others~9617
7404~Financial instruments and services~Tripathy, Nalini Prava~20339
7405~Financial instruments standards~Gupta, Pooja~7735
7406~Financial integration in europe~Benink, H.A.~17112
7407~Financial intelligence for hr professionals~Berman, Karen~1227
7408~Financial inter relationship bet pub autho & pub enter pakistan~Icpe~21270
7409~Financial intermediation and equity capital in India~Prasad, Bindra~12460
7410~Financial management~Foerster, Stephen R.~13539
7411~Financial management~Munshi, K G~13540
7412~Financial management~Chandra, P.~13541
7413~Financial management~Khan [Et.al]~13542
7414~Financial management ~Chandra, Prasanna~13543
7415~Financial management~Chandra, Prasanna~13544
7416~Financial management~Chandra, Prasanna~13545
7417~Financial management~Chandra, Prasanna~13546
7418~Financial management~Chandra, Prasanna~13547
7419~Financial management~Rustogi, R.P.~13548
7420~Financial management~Kuchhal, S.C.~13549
7421~Financial management ~Brigham, E.F. [Et.al]~13550
7422~Financial management~Pandey, I.M.~13551
7423~Financial management~Pandey, I.M.~13552
7424~Financial management~Pandey, I.M.~13553
7425~Financial management~Reddy, B. Krishna~13554
7426~Financial management~Brigham, Eugene F.~13555
7427~Financial management~Khan, M.Y.~13556
7428~Financial management~Khan, M.Y.~13557
7429~Financial management~Khan, M.Y.~13558
7430~Financial management~Pandey, I.M.~13559
7431~Financial management~Kishore, Ravi M.~13560
7432~Financial management~~13561
7433~Financial management~Puxty, Anthony G.~13562
7434~Financial management ~Shil, Nikhil Chandra~13563
7435~Financial management~Chandra, Prasanna~25748
7436~Financial management~Pandey, I.M.~34226
7437~Financial management : theory and practice~Chandra, Prasanna~24370
7438~Financial management : theory and practice, 6th ed.~Chandra, Prasanna~23960
7439~Financial management : theory and practice, 6th ed.~,, ,,~23961
7440~Financial management and analysis~Peterson, P.P.~8274
7441~Financial management and control~Chakreborty, S.K.~15940
7442~Financial management and inflation~Bierman, Harold~17733
7443~Financial management and insurance accounting~Mishra K C~972
7444~Financial management and insurance accounting~Mishra K C~973
7445~Financial management and insurance accounting~Mishra K C~974
7446~Financial management and policy~Van Horne, James C.~17986
7447~Financial management and policy~Horne, James~17987
7448~Financial management and policy 5th ~Van Horne, James C.~21877
7449~Financial management for non-financial managers~Marsh, Clive~14921
7450~Financial management in co-operatives~Reddy, B. C~9672
7451~Financial management in public sector enterprises~Prasad, G.~5281
7452~Financial management in public sector enterprises~Rao, C.K. [Et.al]~5282
7453~Financial management of life insurance companies~Cummins, J.D. [Et.al]~12356
7454~Financial management, 10th ed. (with CD-ROM)~Pandey, I.M.~23543
7455~Financial management, edn.9 (with CD-ROM)~Pandey, I.M.~23113
7456~Financial Management: Text Problems and Cases~Khan,M. Y.~24229
7457~Financial management: theory and practice edn.8 (with CD)~Chandra, Prasanna~24283
7458~Financial management: theory and practice; edn.11 (with CD)~Brigham, Eugene F.~25202
7459~Financial management: theory, problems, cases; 8th ed.~Kishore, Ravi M.~23371
7460~Financial managment~Archer~12353
7461~Financial managment~Jain, P~12354
7462~Financial managment~Inamdar, Satish~12355
7463~Financial market analysis~Blake, David~18537
7464~Financial markets and development~Harwood, Alison~19478
7465~Financial markets and institutions~Saunders, Anthony~4603
7466~Financial markets and monetary policy~Frankel, J.A.~15987
7467~Financial markets and monetary policy~Frankel, J.A.~15988
7468~Financial markets and services~Gordon E.~13519
7469~Financial markets regulation~Jeunemaitre, Alain Ed.~6897
7470~Financial mathematics, revised ~Jothi, A. Lenin~5132
7471~Financial modeling~Benninga, Simon~4912
7472~Financial modeling (cd)~Benninga, S.~3502
7473~Financial modeling, actuarial valuation and solvency in insurance~Wuthrich, Mario V.~17376
7474~Financial modeling: with a section on Visual Basic for applications, edn.3 (with CD)~Benninga, Simon~25404
7475~Financial models of insurance solvency~Cummins, J. David [Et.al]~12068
7476~Financial optimization~Zenious, S.A.~1329
7477~Financial options markets in the usa~Swain, Srinibas~6076
7478~Financial performance of rural banks~Vyas, M R~8928
7479~Financial planning~Elliott Michael W~14221
7480~Financial planning, employee benefitsand you - a reacting workbo~American Council of Life Insurance Education and Country Service~22109
7481~Financial prediction using neural networks~Zirilli, Joseph S.~14151
7482~Financial profitability and losses in public enterprises of developing countries~Icpe~10372
7483~Financial protection r05~CII~15687
