Title,Authors,ISBN10,ISBN13,Biblionumber,PublisherName
"Akashashi jadale nate आकाशाशी जडल नात","Madgulkar, Vidya",,,21925,Gadima
"Akashmithi आकाशमिठी","Kanetkar, Vasant.",,,20051,"Parchure Prakashan Mandir"
"Akashvani shapath khare sangen (vinodi katha) आकाशवाणी शपथ खर सांग न (विन दी कथा)","Barve, Chandrakant",,,6360,"Nilkanth Prakshan"
"Akeli avaz","Avasthi, R.",,,2728,Rajpal
"Akheracha prayog अख रचा प रय ग","Phondake, Bal",,,14428,Mehta
"Akherache patra अख रच पत र","Back, Pearl",,,11783,Chakravarti
"Akshansh rekhansh अक षांश र क षांश","Sadhu, Arun",,,1600,"Majestic Prakashan"
"Aksharvishwa अक षरविश व","Limaye, Vrunda",,,13752,"Unmesh Prakashan"
"Akshaygeet अक षयगीत","Vad, Vijaya",,,1727,"Dilip Prakshan"
"AL 440 LX Mother board S/W & Mannual (Original CD)",,,,23727,
"Alaguja अलगुज","Davaचe, Pravंचa",,,19403,"Dilip Prakashan"
"Alane phalane अलाण फलाण","Dalvi, Jayant",,,21001,Majestic
"Alaska casualty",,,,25703,
"Alaukik अल किक","Mangeshkar, Geeta",,,3448,"Bandodkar Publishing House"
"Alavavarche themb अळवावरच थ ंब","Godabole, Mangala",,,13208,Mangala
"The Alchemy of Finance","Soros. George",0471445495,9780471445494,2073,"J. Wiley"
"Alfa piper: disasters",,,,25261,
Algorithmics,"Brassard, G. [Et.al]",,,9550,Prentice-Hall
"Alic annual report 1982","Australia Life Insurance Corporation",,,22023,"Australian Government Publishing Service"
"Alice in Wonderland","Carrol, Lewis",1452876630,9781452876634,25366,"Learner's Press Pvt. Ltd New Delhi"
"Alice K's Guide to Life","Knapp, C.",0704380528,9780704380523,1045,"Penguin Books"
"Alice's Adventures in Wonderland","Carroll, Lewis",,,863,"Rupa and Co"
"Alkemist द अल क मिस ट","Coealo, Paulo",,,3320,"Padmagandha, Prakashan"
"All about Good Health","Barnard, Christian [Et.al]",,,2899,"India Book House"
"All about Words","Nurnberg, Maxwell [Et.al]",,,14388,"Goylsaab Publishers and Distri"
"All Consumers Are Not Created Equal","Hallberg, Garth",0471120049,9780471120049,19259,"J. Wiley"
"CISSP All-in-One Exam Guide, Third Edition","Harris, Shon",0071502297,9780071502290,23302,"DREAMTECH PRESS"
India,"Massey, Reginald",1870518721,9781870518727,7115,"Apple Press"
"All India conference of actuaries",ASI,,,19643,ASI
"All India conference of actuaries, mumbai, 1996",ASI,,,9374,ASI
"All India debt and investment survey 1981-82",RBI,,,22310,
"All India directory of industrial products","Indian Product Promotion Centre",,,23261,"Indian Product Promotion Centre"
"All India directory of machinery manufacturers 2001-2002","Bailt Publications",,,21906,"Bailt Publications"
"All India directory of placement consultants 2004","Business World",,,21356,"Business World"
"All India divisional manager's conference 15th-17th march , goa","National Insurance",,,9399,"National Insurance Corporation"
"All India divisional manager's conference 5th-6th april","United India Insurance",,,10876,"United India Insurance"
"All India divisional manager's conference delhi, 18-20 march 1982","New India Assurance",,,357,"New India Assurance Company"
"All India fire tariff",TAC,,,20667,"General Insurance Corporation of India"
"All India fire tariff",TAC,,,20668,"General Insurance Corporation of India"
"All India fire tariff (2 copies)",TAC,,,22094,TAC
"All India fire tariff 2001","Tariff Advisory Committee",,,11241,"Tariff Advisory Committee"
"All India fire tarriff",TAC,,,22387,"Tariff Advisory Committe"
"All India marine cargo tariff",TAC,,,3909,"Tariff Advisory Committee"
"All India marine cargo tariff",TAC,,,3910,TAC
"All India savings and deposit trends & pattern urban institute savers","National Institute of Bank Management",,,1510,NIBM
"All India savings and deposit trends & patterns","National Institute of Bank Management",,,1667,NIBM
"All India savings and deposit trends & patterns urban non-bank savers 1986","National Institute of Bank Management",,,3156,NIBM
"All India savings and deposit trends and patterns","National Institute of Bank Management",,,765,
"All India savings and deposit trends and patterns","National Institute of Bank Management",,,766,"National Institute of Bank Management"
"All India savings and deposit trends and patters","National Institute of Bank Management",,,3424,"National Institute of Bank Management"
"All India services act, 1951",,,,4505,"Law Publishers"
"All the Grey Cats","Thomas, C.",1804361720,9781804361726,12313,"Collins Sons and"
"All These Years","Thapar, Raj",,,8302,"Penguin Books India Ltd"
"The All-Season Investor","Pring, M.J.",0471549770,9780471549772,16404,"J. Wiley"
"Allowkik अल किक","Shelke, Shanta G.",,,4001,"Utkarsha Prakashan"
"Alma Mater Academic Library (Digital Library): content and software backup CD",AMAL,,,24561,"National Insurance Academy"
"Alma Mater Academic Library (Digital Library): self installable CD",AMAL,,,25122,"National Insurance Academy"
"Readings in Human Resource Development","Rao, T. V",8120405854,9788120405851,8840,"Rawat Publication"
"Alternative Designs of Human Organisations","De, Nitish R",,,3801,"Sage Publication"
"Alternative risk transfer mechanism","Mohan, V.",,,7018,"General Insurance Corporation"
"Alternative strategies for development","Jayal, N.D.",,,6871,Intach
"Alternative Systems of Business Organization and of Workers' Renumeration","Meade, J E",1134561911,9781134561919,4537,"Allen & Unwin"
"Alternative Work Schedules","Cohen, A.R.",,,15609,"Addison-Wesley Pub."
"Alternatives tp capitalism","Atkinson, A.B. Ed.",,,22019,"St.Martins Press"
"Always at ease","Mccullough, C.J.",,,12409,J.P.Tarcher
"Amara prema","Ashapurna Devi",,,19866,"Star Trak Publisher"
"Amaranathchya vatevarachya katha ani vyatha अमरनाथच या वाट वरच या कथा आणि व यथा","Sathye, Anil",,,7724,"Madhavi Prakashan"
"The Amazing Race","Davidson, W.H",0471507512,9780471507512,1669,"John Wiley and Sons"
"Amcha bap ani aamhi/आमचा बाप आणि आम्ही","Jadhav, N.",,,16812,"Granthali Prakashan"
"America ek divaswapna अम रीका एक दिवास वप न","Menjoge, Sitaram",,,12216,"Navachaitanya Prakashan"
"America navache prakaran अम रिका नावाच प रकरण","Bhave, Sa. Shi.",,,4261,"Majestic Prakashan"
"America अम रिका","Avachat, Anil",,,18506,"Majestic Prakashan"
"American Anti-Management Theories of Organization","Donaldson, Lex",0521479177,9780521479172,12252,"Cambridge University Press"
"American economic review",,,,33673,"American Economic Association"
"American economic review",,,,33674,"American Economic Association"
"American Economic Review (December 2005) Vol.95, No. 5","American Economic Association",,,22628,
"American Economic Review (December 2006), V.96 (5) Articles shorter papers: Papers and proceedings",AER,,,22988,
"American Economic Review (December 2007), V.97 (5) Articles shorter papers: Papers and proceedings",AER,,,23256,
"American Economic Review (December 2008), V.98 (5) Articles shorter papers: Papers and proceedings",AER,,,23141,
"Papers and Proceedings of the .. Annual Meeting of the American Economic Association","American Economic Association",,,24242,
"American Economic Review (June 2006) Vol.96, No. 3","American Economic Association",,,25538,
"The American Economic Review","American Economic Association",,,25470,
"American Economic Review (March 2005) Vol.95, No. 2","American Economic Association",,,23622,
"American Economic Review (March 2005) Vol.95, No.1","American Economic Association",,,23221,
"American Economic Review (March 2006) Vol.96, No. 2","American Economic Association",,,24312,
"American Economic Review (March 2008) Vol.98, No. 1","American Economic Association",,,25139,
"American Economic Review (May 2008) Vol.98, No. 2","American Economic Association",,,24319,
"American Economic Review (September 2008) Vol.98, No. 3","American Economic Association",,,23567,
"American economic review, June 2007 (Vol.97(3): Articles shorter papers and proceedings:Also includes Mar 99- May 07",AER,,,23287,
"American economic review, March 2007 (Vol.97(1): Articles shorter papers and proceedings:Also includes Mar 99- Dec 06",AER,,,24792,
"American economic review, May 2007 (Vol.97(2): Articles shorter papers and proceedings:Also includes Mar 99- Mar 07",AER,,,22978,
"American economic review, Sept. 2007 (Vol.97(2): Articles shorter papers and proceedings:Also includes Mar 99- Jun 07",AER,,,23357,
"Journal of the American Veterinary Medical Association","American Economic Association",,,25597,"American Economic Association"
"American Economic Review: September 2006 - V.96(4):Articles shorter papers papers and proceedings:",AER,,,22644,"American Economic Association"
"American landscapes: CD22",,,,22844,
"The American Presidents","Holms, J.P.",,,620,"Pinnacle Books"
"Amfi mutual fund testing programme for distributors and employees of mutual funds in India - workbook","Association of Mutual Funds",,,8063,"Association of Mutual Funds In India"
"Amhi ase ladhalo (pune jilhyatil svatantrya sainikanche manogat) आम ही अस लढल","Phadke, Kamalini",,,20903,"Dnyanada Publications"
"Amhi to badanam आम ही त बदनाम","Shevade, Indumati",,,292,"Arthi Prakaahan"
"Ammaldar अंमलदार","Deshpande, Pu.La.",,,20597,Shrividya
"Amos 23.0 Client setup",Amos,,,25270,
"AMOS 4.0 SPSS (Original CD)",,,,24123,
"Amos all downloads setup & licenses  manager",Amos,,,23264,
Amruta,"Das, Kamal",,,4610,"Rajpal and Sanj"
"Amrutaputra अम तपुत र","Kher, Bha.Da.",,,17963,"Shashideep Prakashan"
"Amrutavel अम तव ल","Khandekar, Vi. Sa.",,,2261,
"Amrutayatra anu anagha prabhudesai अम तयात रा अनुवादअनघा प रभुद साई","Joshi, Dinakar Da.",,,20746,"Shree Prakashan"
"Amukache svatantrya अमुकाच स वातत र य","Oak, Shashank",,,13076,"Popular Prakashan"
"An introduction to risk management",,,,24574,
"Analog and Digital Signal Processing","Kronenburger, John",1418041734,9781418041731,22602,"Cengage Learning India Private Limited"
"PC-based Instrumentation and Control","Tooley, Mike",0080938272,9780080938271,25358,"Matrix Multimedia Ltd."
"Analysing Performance Problems, Or, You Really Oughta Wanna","Mager, Robert",0749402393,9780749402396,5049,
"Analysis and Design of Information Systems","Senn, James A.",0071006060,9780071006064,5135,"Mc-Graw Hill"
"The Analysis and Use of Financial Statements","White, Gerald I",0471375942,9780471375944,23539,"Wiley India (P) Ltd."
"The Analysis, Design, and Implementation of Information Systems","Lucas, Henry",,,9456,"Mc Graw Hill International Books"
"Analysis of Marine Insurance Clauses","Brown, R. H.",,,15817,"Witherby & Co"
"The Institute Time Clauses - Hulls, 1995","Brown, R.H.",1856091163,9781856091169,11813,"Witherby Publication"
"The Institute Time Clauses - Hulls, 1995","Brown, R.H.",1856091163,9781856091169,7730,Witherby
"The Institute Time Clauses - Hulls, 1995","Brown, R.H.",1856091163,9781856091169,1198,Witherby
"Analysis of Nominal Data","Reynolds, H.T.",,,15885,"Sage Publications"
"Analysis of non compliances under indirect taxes with special reference to erstwhile central excise service tax and presently goods and services act and measures to improve the compliances","Nimkar, Narhar K",,,20271,"National Insurance Academy"
"Analysis of Ordinal Data","Hildebrand, D.K. & Others",0803907958,9780803907959,21165,"Sage Publications"
"Analysis of the business cycles of lic of India (1965-1994)","Bhaskar Rau, G.N.",,,20713,"National Insurance Academy"
"Analysis of the potential of life insurance business",N.C.A.E.R.,,,8747,"General Insurance Corporation of India"
"The Analysis, Design, and Implementation of Information Systems","Lucas, Henry C.",,,9786,"Mcgraw Hill"
"Analytical Development Economics","Basu, Kaushik",0262523442,9780262523448,21867,Mit
"Analytical Marketing Management","Doyle, P. [Et.al]",,,16217,"Harper & Row Pub."
"Analytical Methods in Software Engineering Economics","Gulledge, T.R. [Et.al]",,,6749,"Springer - Verlag"
"Analytical Solid GeometryFor B.A.And B.Sc","Shanti Narayan",1017484503,9781017484502,16474,"S. Chand & Company"
"Analytical Solid GeometryFor B.A.And B.Sc","Narayan, Shanti",1017484503,9781017484502,16475,
"The Analytics of Uncertainty and Information","Hirshleifer, J. [Et.al]",0521834082,9780521834087,2801,"Cambridge University Press"
"Analyzing Complex Survey Data","Lee, E.S. & Others",0761930388,9780761930389,21923,"Sage Publications"
"Analyzing Decision Making","Louviere, J.J.",0803927576,9780803927575,5327,"Sage Publications"
"Analyzing the distributional impact of reforms: a practitioner's guide to trade, monetary and exchange rate policy, utility provision, agricultural markets, land policy & edn.:V.1","Coudouel, Aline",,,25388,"WORLD BANK,THE"
"Anandache zad","Navare, Shan. Na.",,,2259,"Navachaitanya Prakashan"
"Anandvan prakalpachi yashogathaआनंदवन प रकल पांची यश गाथा सामाजिक व आर थिक विकासाची","Sonegavkar, Aruna",,,4943,"Vidya Vikas Publishers"
"Anandvan prayogvan","Amate, Vikas",,,20786,"Samkaleen Prakashan"
"Anandvan prayogvan /आनंदवन प्रयोगवन","Amte, Vikas/आमटे विकास",,,10656,"समकालीन प्रकाशन"
"Ananta अनंत","Bage, Asha.",,,1771,Dnyanada
"Anatomy and physiology for underwriters","General Cologne Re",,,5836,"General Cologne Re"
"Anatomy and physiology for underwriters (with CD)","General Cologne Re",,,23267,"General Cologne Re"
"Anatomy of judicial pendency (civil litigation)","Maharashtra Judicial Academy",,,19199,"Gokhale Institute of Politics and Economics"
"The Anatomy of Power","Galbraith, John K",,,21053,Hamilton
"The Anatomy of Relationships","Henderson, M. [Et.al]",,,17138,
"Ancient Egypt: CD16",,,,25281,
"Ancient Hindu Geometry: The Science of the Sulba","Datta, Bibhutibushan",8170204607,9788170204602,3708,"Cosmo Publications"
"And pine for what is not, transl from the marathi by gauri desh अँड पाईन फ र व ह ट इज न ट","Deshpande, Suneeta",,,15702,"Disha Books"
"Andharyatra (kathasangrah) अंधारयात रा (कथासंग रह) आव त ती १","Dharap, Narayan",,,17032,"Rachana Prakashan"
"Andromeda strain","Chrichton, Michael",,,13441,"Arrow Publication"
"Anganatle abhal अंगणातल आभाळ","Pathak, Yashavant.",,,16981,Granthali
"Anganatle chandana अंगणातल चांदणं","Pinge, Ravindra.",,,8080,"Majestic Prakashan"
"Angarmati अंगारमाती","Chandanshiv, Bhaskar",,,6497,"Sanket Prakashan"
"Angel Eyes","Lustbader, Eric Van",0246136588,9780246136589,16463,Grafton
"How to Control Your Anger","Ellis, Albert",147214273X,9781472142733,20228,Jaico
"Animal Days","Morris, D.",,,9114,J.Cape
"Animal Farm","Orwell, George",1412811902,9781412811903,3192,"Penguin Boks"
"Nat Geo Wild Animal Atlas","National Geographic",1426308868,9781426308864,7578,"National Geographic"
"James Herriot's Animal Stories","Herriot, James",0771041071,9780771041075,19161,"St Martins Press"
"Annals of library and information studies",,,,33561,NISCAIR
"Annals of life insurance medicine","Bradlow, B.A.",,,22099,"Springer - Verlag"
"Annals of life insurance medicine","Bradlow, B.A.",,,22100,"Springer - Verlag"
"Annals of Life Insurance Medicine","Zurich, H.Jecklin",3642856209,9783642856204,22101,"Springer - Verlag"
"Annals of life insurance medicine","Clarke, J.E.",,,22102,"Springer - Verlag"
"Annotated and Classified Bibliography of Indian Demography","Desai, P B",,,14067,"Popular Prakashan"
"An Annotated Bibliography of Mortality Studies in India","Abraham, S.",,,12845,"Himalaya Publishing"
"Annotated Marine Insurance Legislation","Merkin, R.",,,8002,"Lloyd's of London Press"
"Proceedings of the World Bank Annual Conference on Development Economics, 1994","Bruno, M. [Et.al]",0821329081,9780821329085,1567,"World Bank"
"Proceedings of the World Bank Annual Conference on Development Economics, 1994","Bruno, M. [Et.al]",0821329081,9780821329085,20016,"World Bank"
"The 1972 Annual Handbook for Group Facilitators","Pfeiffer William I. [Et.al]",,,15545,"University Associates"
"The 1979 Annual Handbook for Group Facilitators","John, E. Jones [Et.al]",0787905275,9780787905279,14373,"University Associates"
"Annual handbook for group facilitators 1978","I. William Pfeiffer [Et.al]",,,14565,"University Associates"
"The 1979 Annual Handbook for Group Facilitators","John E. Jones [Et.al]",0787905275,9780787905279,16494,"University Associates"
"Annual handbook for group facilitators 1980","Pfeifer I. William. [Et.al]",,,12084,"University Associates"
"1981 Annual","William I. Pfeiffer [Et.al]",,,9928,"University Associates"
"Annual Report","Berkshire Hathaerway Inc.",,,3994,"Berkshire Hathaway"
"Annual pension bulletin 2017-2018",PFRDA,,,16901,"Pension Fund Regulatory and Development Authority"
"Annual report","S.S. Huebner Foundation For Insurance Education",,,10712,"The University of Pennsylvania"
"Export-Import Bank of the United States Annual Report","Export Import Bank of India",,,10713,
"Annual report 1980","Oriental Five and General Insurance",,,7841,O.F.G.I.
"Annual Report - National Bureau of Economic Research","National Council of Applied Economic Research",,,17896,
"Annual report 1990-1991","Exim Bank of India",,,20982,
"Export-Import Bank of the United States Annual Report","Export Import Bank of India",,,8139,
"Annual report 1998",CIIRAI,,,1311,"Controller of Insurance and Insurance Regulatory Authority of India"
"Comprehensive Annual Financial Report for the Fiscal Year Ended June 30 ...","Controller of Insurance and Insurance Regulatory Authority of In",,,1312,"Controller of Insurance and Ir"
"Annual report 1999-2000 reserve bank of India, mumbai",RBI,,,20567,"Reserve Bank of India"
"Annual report of the insurance commissioner 1983",,,,7579,
"Annual Report - [Industrial Development Bank of Pakistan].","Industrial Reconstruction Bank",,,12607,
"Annual Report of the Secretary of the Treasury on the State of the Finances for the Year ...","United India Insurance",,,1342,U.I.I.
"Annual Review of Psychology","Spence, J.T. & Others Eds.",0824302508,9780824302504,1928,"Annual Reviews Inc."
"Annual survey of industries",EPW,,,4805,"Epw Research Foundation"
"Annual survey of industries: 1973-74 to 1997-1998",EPW,,,23547,"EPW Research Foundation"
"Proceedings of the World Bank Annual Conference on Development Economics, 1994","Bruno, M. [Et.al]",0821329081,9780821329085,12195,"The World Bank"
"Annuity markets and benefit design in multipillar pension schemes","Palacios, Robert",,,21105,"World Bank"
"Anokhya maiphily अन ख या म फली","Jogalekara, Yogini.",,,8290,"Navachaitanya Prakashan"
"Another harmony","Blackburn, Stuart",,,3039,"Oxford University Press"
"Answer to the Quest","Hauserman, Ray",,,15105,"Bharatiya Vidya Bhavan"
"Answer to the Quest","Hauserman, Ray",,,11748,"Bharatiya Vidya Bhavan"
"Antaral aani vidnyan अंतराळ आणि विज ञान","Naralikar Jayant",,,174,"Navchaitanya Prakashan"
"Antarang अंतरंग","Bhopatkar, Sharayu.",,,6363,Samvad
"Antarctic Treaty System in World Politics","Jorgensen-Dahl, A. [Et.al]",1349124710,9781349124718,21113,Mcmillan
"The Anti-Aging Plan","Walford, Roy L.",1569243832,9781569243831,20164,"Magna Publishing"
"Anti-Dumping and Countervailing Measures","Gupta, R.K.",,,9123,"Response Books"
"Anti-hacker Tool Kit","Shema, Mike",,,24846,"Tata McGraw Hill Publishing Company Limited"
"Antim ichcha aa1 अंतिम इच छा","Tibile, Anant.",,,3135,"S.K.Publishing House"
"Anubhav tukobancha","Inambdar, H.V.",,,19493,"Snehal Prakashan"
"Anubhav vikne ahet अनुभव विकण आह त","Pathare, Ranganath",,,22051,Vishwamohini
"Anubhav अनुभव","Kamlakar Sarang.",,,10933,"Dimpal Publication"
"Anubhavanti अनुभवान ती","Pai, Shirish",,,7906,"Parchure Prakashan Mandir"
"Anudini अनुदिनी","Prabhavalakar, Dilip.",,,15286,Utkarsh.
"Anumanahi pade sakade अनुमानाही पड साकड","Inamdar, Na.Sam.",,,20743,Sun
"Anushka अनुष का","Vad, N.",,,18476,
"Anvani makbul phida husain अनवाणीमकब ल फिदा हुस न","Nadkarni, Dnyaneshwar",,,9656,"Majestic Prakashan"
"Any Time (Original CD)",,,,23687,
"Aparatra अपरात र","Matakari, Ratnakar.",,,12988,"Dimpal Publication"
"Apavad ani dishatur अपवाद आणि दिशातुर","Kardale, Asha",,,12,"Chakravarti Prakashan"
"Apghat ani apan अपघात आणि आपण","Baugh, Yogesh",,,7492,"Akansha Prakashan"
"Apghat anni aapan (अपघात आणि आपण)","Bag, Yogesh",,,8644,"Akansha Prakashan"
Apiculture,"Jean-Prost, P.",,,14447,Oxford/Ibh
"All About Computer & Mobile Tips : Super Speed Computer Course/1000 Computer-Internet Prashnottari/Mobile & Computer Ke 100 Smart Tips/Apne Mobile Aur Computer Ki Dekhbhaal Kaise Kare","Sharma Anil",,,22958,
"The Apocalypse Watch","Ludlum, Robert",1409121909,9781409121909,9146,
"Apollo 13 leadership (30 Mits Training + support material) 2 CDs","HRD Multimedia",,,24692,"Multimedia HRD Pvt.Ltd."
"Apoorvai अप र वाई","Deshpande, Pu. La.",,,10936,"Shrividya Prakashan"
"The Apple Cart","Shaw, Bernard",,,6526,"Penguin Books"
"Application of neural networks in investment management","Mitra, Subrata Kumar",,,9742,"National Insurance Academy"
"Application of reinsurance ( cii study course 825 )","Paine, Christopher",,,1798,"Chartered Insurance Institute"
"Applications of calculus","Staffin, P. Ed.",,,1305,Maa
"Applied and Algorithmic Graph Theory","Chartrand, G. [Et.al]",,,19870,Mcgraw-Hill
"Executive Economics","Maital, S.Ed.",,,20913,"New York University Press"
"Executive Economics","Maital, S. Ed.",,,20914,"New York Univ. Press"
"Applied Chaos Theory","Cambel, A.B.",0080571360,9780080571362,11935,"Academic Press"
"Applied Economics in Banking and Finance","Carter H",0198772297,9780198772293,18949,"Oxford University Press"
"Applied Human Relations","Halloran, Jack",,,21777,"Prentice Hall of India"
"Applied Human Relations","Dessler, Gary",0835901815,9780835901819,21778,"Reston Publishing"
"Applied Imagination - Principles and Procedures of Creative Writing","Osborn, A.",1447480724,9781447480723,12902,"Better Yourself Books"
"Applied Impression Management","Giacalone, R and Resenfeld, Paul",,,21081,"Sage Publications"
"Marketing Research","Sciglimpaglia, Donald.",002406730X,9780024067302,17350,"Dryden Press"
"Applied Mathematics for the Management, Life, and Social Sciences","Grossman, S.I.",0534042392,9780534042394,9106,"Wadsworth Publishing Company"
"Applied Management","Straub, Joseph",0876260148,9780876260142,9169,"Winhrop Publishers"
"Applied Multivariate Statistical Analysis","Johnson, R.A. [Et.al]",1292037571,9781292037578,19944,Prentice-Hall
"Applied Operations Research and Management Science","Fabrycky, W. J.",,,5221,"Prentice Hall of India"
"Applied Regression","Lewis-Beck, M.S.",1483381498,9781483381497,9858,"Sage Publications"
"Applied Statistics with Microsoft Excel","Keller, Gerald",0534371124,9780534371128,23092,Duxbury
"Applied Strategic Planning","Goodstein L. D.",,,19130,"Mcgraw Hill"
"Applying Successful Training Techniques","Wilson, Joe B.",1883553377,9781883553371,8727,"Kogan Page"
"Appointment with Death","Christie, Agatha",0440102464,9780440102465,20878,"Collins Sons and Co"
"Appraising & exploring organisations","Tyson, S. [Et.al]",,,7526,"Croom Helm."
"Awards, Agreements, Orders, and Decisions Made Under the Industrial Relations Act, the Apprentices Act, and Other Industrial Legislation","Labour Law Agency",,,22182,"Labour Law Agency"
"Report of the Committee to Review the Working of LIC (September 1980).","L.I.C. of India",,,19489,"Life Insurance Corporation of India"
Approach,"Munich Re",,,19490,"Munich Re Group"
"An Approach to Financing Agriculture and Rural Sector","Bhuleshkar, Ashok",,,5207,"Anmol Publications"
"Approach to good health for employees andreduced health care cos","Berry, Charles.A.",,,4132,"Health Ins.Asso.America"
"Approach to the eighth five year plan 1990-95","Govt. of India Planning Commission",,,1881,
"Approach: actuarial principles and practice (with CD-ROM)","Munich Re Group",,,22797,"Munich Re Group"
"Approaches To Training And Development","Laird, Dugan",0465009778,9780465009770,13429,Addison-Wesley
"Appropriale techonology for rural industries","Kanesalingam, V.",,,3915,"Tata Mc Graw Hill"
"Appropriate management technology for the third world","Ryan, F.N.",,,13958,"Wheelar Publication"
"Appropriate Remuneration in Developing Countries","Kuppachi, R.",0803996632,9780803996632,8157,"Sage Publication"
"Appropriate technology, problems and promises","Organistion For Economci Co-Operation & Development [Et.al]",,,6820,"Oxford and Ibh"
"Aprameyaअप रम य","Phatak, Shreekant",,,20474,"Manorama Prakashan"
"The Apu Trilogy","Ray, Satyajit",,,18700,
"The Aquitaine Progression","Ludlum, R",1409121917,9781409121916,20791,
"Arab reinsurance company: annual report 2009","Arab Re",,,23559,"Arab Reinsurance Company"
"Arajakachya vatevar bharat translated by dr kumudini dandekar अराजकाच या वाट वर भारत ट रान सल ट ड बाय ड कुमुदिनी दांड कर","Saxena, S.N.",,,7945,"Shree Vidya Prakashan"
"Arambh and nirantar आरंभ आणि निरंतर","Kardale, Asha",,,11115,"Shripad Prakashan"
"Aranyaputra अरण यपुत र","Varghade, Sureshchandra.",,,21892,"Utkarsh Prakashan"
Arbiter,,,,33668,"Industrial Relation Institute of India"
"Arbitration and conciliation act, 1996",Universal,,,18671,"Universal Law Publishing"
"Arbitration and conciliation act, 1996","Asia Law House",,,18672,"Asia Law House"
"Best of the Forties / Book #2","Gladir,George",1627388508,9781627388504,23319,"Archie's Comics Ltd. New York"
Crazy,"Pellowski, Mike",1302518267,9781302518264,23320,"Archie's Comics Ltd. New York"
Crazy,"Pellowski, Mike",1302518267,9781302518264,23321,"Archie's Comics Ltd. New York"
"ArcSoft Photostudio 6",,,,24417,"ArcSoft Inc."
"Are computers a profitable management tool?","Weir K.",,,6409,"The Insurance Institute of London"
"Are Computers Alive?","Simons, Geoff",,,9986,"Harvester Press"
"Are we fair to motor third party claimants","Rao, P.R.",,,86,"National Insurance Academy"
"Are we fair to motor third party claimants","Rao, P.R.",,,87,"National Insurance Academy"
"Are you a company director","Chakraborty, S.",,,16193,"Taxmann Publications"
"Are You Killing Yourself, Mr. Executive?","Dastur, R. H.",,,11011,"Ibh Pub."
"We are Tomorrow's Past","Home Trade",,,12107,"Home Trade Marketing India"
"Are you ready to make money?: your essential first step to understanding investments (Develop the confidence to get more","Home Trade",,,25719,"Home Trade Marketing India Limited"
"Arghyadan[indira gandhinchya jeevanavaril charitratmak kadambari] अर घ यादान (इंदिरा गांधींच या जीवनावरील चरित रात मक कादंबरी)","Sapre, Choudhary Vidya",,,8187,"Vimal Prakashan"
"Ariel (msng)","Mourois, Andre",,,10473,"Penguin Books"
"Arig directsory of insurance companies in the arab world 1992",,,,4436,Arig
"Arion and the Dolphin","Seth, Vikram",1858814308,9781858814308,18617,Viking
"Arnould's law of marine insurance and average","Musfill, M.J. [Et.al]",,,9383,"Stevens & Sons"
"Arnould's Law of Marine Insurance and Average","Mustill, M.J. [Et.al]",,,9384,"Stevens & Sons"
"Arogyasathi manache shlok","Joshi, Vidya",,,20649,"Manorama Prakashan"
"Arrival and Departure","Koestler, A.",1409018776,9781409018773,8040,"Penguin Books"
"Arrival and departure (msng)","Kostler, Arthur",,,20434,"Penguin Books"
"The Arrow Of Time","Coveney, P. [Et.al]",0753551799,9780753551790,8810,Flamingo
arrowsmith,"Sinclair, Lewis",,,17271,"New American Lib"
"Art and insurance","Muniche Re",,,732,"Muniche Re"
"The Art and Science of Business Management: Performance","Timpe, A. D",8172240120,9788172240127,11294,"Jaico Publishing"
"The Art and Science of Business Management: Performance","Timpe, A. D",8172240120,9788172240127,11295,"Jaico Publishing Co"
"The Art and Science of Business Management: Marketing","Timpe, A.D.",8172240155,9788172240158,11296,"Jaico Publishing"
"The Art and Science of Business Management: Marketing","Timpe, A.D.",8172240155,9788172240158,11297,"Jaico Publishing"
"The Art and Science of Business Management: Marketing","Timpe, A.D.",8172240155,9788172240158,11298,"Jaico Publishing"
"The Art of C Programming","Jones and Stewart",3540963928,9783540963929,2559,"Springer Verlag"
"Art of Conversation","Morris, James A.",0671632752,9780671632755,15122,
"The Art of Counseling","May, Rollo",,,13740,"Rupa &"
"The Art of Damaging","Davar, R",,,13984,"Business Books"
"The Art of Decision Making","Arnold, John D.",,,1649,Amacom
"The Art of Dreaming","Castaneda, C.",1855384272,9781855384279,6025,
"The Art of Framing","Fairhurst, G.T. [Et.al]",,,623,Jossey-Bass
"The Art of Giving and Receiving Feedback","Poertner, S. [Et.al]",1884926533,9781884926532,10757,Amp
"Tips on Leadership Life Stories of Twenty - Five Leaders","Casson, Herbert N.",1018167846,9781018167848,13201,"Taraporwala Sons"
"Art of influence (14 Minutes)",BBC,,,24834,"BBC WORLDWIDE LTD."
"The Art of Japanese Management","Pascale, R T",,,6027,"Penguin Books"
"The Art of M&A, Fourth Edition","Reed, S.F.",0071510346,9780071510349,20776,Irwin
"The Art of Management","Rustomji, M.K. [Et.al]",0333907302,9780333907306,7549,"Macmillan India Ltd"
"Organizational Culture and Leadership","Schein, Edgar H.",1119212049,9781119212041,8518,"Oxford University Press"
"The Art of Negotiating","Nierenberg, Gerard I.",0671704990,9780671704995,6621,"Cornerstone Library"
"The Art of Problem Solving","Ackoff, Russell L.",,,6556,"John Wiley and Sons"
"The Art of Smooth Pasting","Dixit, Avinash",1317973739,9781317973737,1015,"Harwood Academic Publication"
